start_x,start_y,end_x,end_y,player_id,team_id,type_name,result_name,xt_value
52.45425,33.95425,28.80857142857143,23.694166666666668,Burak Yılmaz,Turkey,pass,success,0.0
28.80857142857143,23.694166666666668,31.87428571428572,25.160833333333333,Caglar Söyüncü,Turkey,carry,success,0.0
31.87428571428572,25.160833333333333,62.18857142857143,64.73222222222222,Caglar Söyüncü,Turkey,pass,success,0.00055
62.18857142857143,64.73222222222222,61.94000000000001,64.50155555555556,Kenan Karaman,Turkey,carry,success,0.0
37.59142857142858,0.038444444444444455,14.437500000000002,5.728222222222222,Leonardo Spinazzola,Italy,pass,success,0.0
14.437500000000002,5.728222222222222,2.9791666666666665,9.726444444444443,Giorgio Chiellini,Italy,carry,success,0.0
2.9791666666666665,9.726444444444443,7.195833333333335,30.477250000000005,Giorgio Chiellini,Italy,pass,success,0.0002
7.195833333333335,30.477250000000005,8.295833333333333,32.94775,Gianluigi Donnarumma,Italy,carry,success,0.0
8.295833333333333,32.94775,18.005625000000002,41.189166666666665,Gianluigi Donnarumma,Italy,pass,success,4e-05
18.005625000000002,41.189166666666665,25.74285714285714,43.0225,Leonardo Bonucci,Italy,carry,success,0.0
25.74285714285714,43.0225,28.228571428571428,18.6525,Leonardo Bonucci,Italy,pass,success,4e-05
28.228571428571428,18.6525,33.28285714285714,15.810833333333333,Giorgio Chiellini,Italy,carry,success,4e-05
33.28285714285714,15.810833333333333,30.465714285714288,33.95425,Giorgio Chiellini,Italy,pass,success,0.0
30.465714285714288,33.95425,30.631428571428575,34.228750000000005,Leonardo Bonucci,Italy,carry,success,3e-05
30.631428571428575,34.228750000000005,38.83428571428572,12.648222222222223,Leonardo Bonucci,Italy,pass,success,5e-05
38.83428571428572,12.648222222222223,41.56857142857143,8.034888888888888,Giorgio Chiellini,Italy,carry,success,0.0
41.56857142857143,8.034888888888888,86.446875,11.571777777777777,Giorgio Chiellini,Italy,pass,success,0.00332
79.09142857142857,0.038444444444444455,83.64857142857143,5.343777777777778,Leonardo Spinazzola,Italy,pass,success,0.0
72.38,0.038444444444444455,75.94285714285715,9.341999999999999,Leonardo Spinazzola,Italy,pass,success,0.00074
76.35714285714286,9.341999999999999,80.33428571428571,9.726444444444443,Ciro Immobile,Italy,pass,success,0.00072
80.33428571428571,9.726444444444443,79.50571428571428,11.033555555555557,Lorenzo Insigne,Italy,carry,success,0.0
26.820000000000004,59.73444444444444,26.654285714285717,58.42733333333332,Okay Yokuşlu,Turkey,carry,success,0.0
26.654285714285717,58.42733333333332,22.097142857142853,58.658,Okay Yokuşlu,Turkey,pass,success,0.0
22.097142857142853,58.658,21.517142857142858,59.580666666666666,Mehmet Zeki Çelik,Turkey,carry,success,0.0
21.517142857142858,59.580666666666666,22.677142857142858,53.38083333333334,Mehmet Zeki Çelik,Turkey,pass,success,0.0
22.677142857142858,53.38083333333334,22.925714285714285,52.647499999999994,Merih Demiral,Turkey,carry,success,0.0
22.925714285714285,52.647499999999994,33.78,63.42511111111111,Merih Demiral,Turkey,pass,success,6e-05
33.78,63.42511111111111,36.431428571428576,64.886,Kenan Karaman,Turkey,carry,success,0.0
36.431428571428576,64.886,39.745714285714286,64.886,Kenan Karaman,Turkey,pass,success,6e-05
56.38875,67.96155555555556,36.1,58.81177777777778,Mehmet Zeki Çelik,Turkey,pass,success,0.0
32.95142857142857,55.73622222222222,13.979166666666666,34.04575000000001,Merih Demiral,Turkey,pass,success,7e-05
13.979166666666666,34.04575000000001,14.254166666666665,35.052250000000015,Uğurcan Çakır,Turkey,carry,success,0.0
14.254166666666665,35.052250000000015,59.77425000000001,62.27177777777778,Uğurcan Çakır,Turkey,pass,success,0.00024
26.73714285714286,0.038444444444444455,11.779166666666667,17.2775,Giorgio Chiellini,Italy,pass,success,0.0
14.070833333333331,23.052500000000002,23.58857142857143,50.08083333333334,Gianluigi Donnarumma,Italy,pass,success,0.0
23.58857142857143,50.08083333333334,39.24857142857143,60.88777777777778,Alessandro Florenzi,Italy,carry,success,0.0001
39.24857142857143,60.88777777777778,31.87428571428572,47.42250000000001,Alessandro Florenzi,Italy,pass,success,0.0
31.87428571428572,47.42250000000001,35.85142857142857,42.83916666666668,Leonardo Bonucci,Italy,carry,success,0.0
35.85142857142857,42.83916666666668,43.48725,11.033555555555557,Leonardo Bonucci,Italy,pass,success,7e-05
43.48725,11.033555555555557,48.062250000000006,9.880222222222221,Giorgio Chiellini,Italy,carry,success,4e-05
48.062250000000006,9.880222222222221,57.48675000000001,3.498444444444444,Giorgio Chiellini,Italy,pass,success,0.00018
57.48675000000001,3.498444444444444,58.12725000000001,2.8833333333333333,Leonardo Spinazzola,Italy,carry,success,0.0
58.12725000000001,2.8833333333333333,47.33025,7.881111111111111,Leonardo Spinazzola,Italy,pass,success,0.0
47.33025,7.881111111111111,47.14725000000001,8.265555555555554,Giorgio Chiellini,Italy,carry,success,0.0
47.14725000000001,8.265555555555554,50.258250000000004,20.394166666666663,Giorgio Chiellini,Italy,pass,success,7e-05
49.80075000000001,19.4775,45.225750000000005,11.187333333333331,Jorge Luiz Frello Filho,Italy,pass,success,0.0
44.49375,11.187333333333331,33.28285714285714,30.75175,Giorgio Chiellini,Italy,pass,success,0.0
33.28285714285714,30.75175,35.43714285714286,31.20925,Leonardo Bonucci,Italy,carry,success,0.0
35.43714285714286,31.20925,39.082857142857144,51.822500000000005,Leonardo Bonucci,Italy,pass,success,6e-05
39.082857142857144,51.822500000000005,39.082857142857144,52.46416666666667,Alessandro Florenzi,Italy,carry,success,0.0
39.082857142857144,52.46416666666667,103.57916666666667,58.27355555555556,Alessandro Florenzi,Italy,pass,success,0.00654
103.7625,57.88911111111111,100.64583333333333,42.564166666666665,Domenico Berardi,Italy,pass,success,0.01715
5.454166666666667,37.61425,91.3875,67.88466666666667,Uğurcan Çakır,Turkey,pass,success,0.00349
20.771428571428572,0.038444444444444455,36.68000000000001,5.805111111111111,Leonardo Spinazzola,Italy,pass,success,0.00013
68.32,62.19488888888889,79.09142857142857,52.189166666666665,Okay Yokuşlu,Turkey,pass,success,0.00244
27.98,24.9775,27.98,25.710833333333333,Nicolò Barella,Italy,carry,success,0.0
27.98,25.710833333333333,60.59775,62.8868888888889,Nicolò Barella,Italy,pass,success,0.00055
60.59775,62.8868888888889,60.78075,63.04066666666667,Domenico Berardi,Italy,carry,success,0.0
55.01624999999999,4.728666666666666,48.70275,6.727777777777778,Hakan Çalhanoğlu,Turkey,carry,success,0.0
48.70275,6.727777777777778,42.31428571428572,21.769166666666663,Hakan Çalhanoğlu,Turkey,pass,success,8e-05
42.31428571428572,21.769166666666663,42.14857142857143,21.494166666666665,Okay Yokuşlu,Turkey,carry,success,0.0
42.14857142857143,21.494166666666665,24.83142857142857,19.56916666666667,Okay Yokuşlu,Turkey,pass,success,0.0
24.83142857142857,19.56916666666667,25.494285714285713,18.3775,Caglar Söyüncü,Turkey,carry,success,0.0
25.494285714285713,18.3775,44.21925,67.654,Caglar Söyüncü,Turkey,pass,success,0.00011
66.58,0.038444444444444455,70.97142857142858,5.343777777777778,Leonardo Spinazzola,Italy,pass,success,0.0
70.97142857142858,5.343777777777778,69.81142857142858,5.113111111111112,Lorenzo Insigne,Italy,carry,success,0.0
69.81142857142858,5.113111111111112,62.85142857142857,6.804666666666667,Lorenzo Insigne,Italy,carry,success,0.0
62.85142857142857,6.804666666666667,62.68571428571428,7.342888888888888,Manuel Locatelli,Italy,carry,success,0.0
62.68571428571428,7.342888888888888,93.22083333333333,39.7225,Manuel Locatelli,Italy,pass,success,0.03648
11.779166666666667,28.2775,14.254166666666665,39.447500000000005,Uğurcan Çakır,Turkey,carry,success,0.0002
14.254166666666665,39.447500000000005,66.74571428571429,46.689166666666665,Uğurcan Çakır,Turkey,pass,success,0.00096
59.682750000000006,0.038444444444444455,43.2257142857143,6.035777777777778,Lorenzo Insigne,Italy,pass,success,0.0
43.2257142857143,6.035777777777778,43.06,6.574,Leonardo Spinazzola,Italy,carry,success,0.0
43.06,6.574,32.86857142857143,11.187333333333331,Leonardo Spinazzola,Italy,pass,success,0.0
32.86857142857143,11.187333333333331,35.27142857142857,12.263777777777776,Giorgio Chiellini,Italy,carry,success,1e-05
35.27142857142857,12.263777777777776,37.425714285714285,57.58155555555555,Giorgio Chiellini,Italy,pass,success,2e-05
37.425714285714285,57.58155555555555,40.65714285714286,57.35088888888889,Alessandro Florenzi,Italy,carry,success,0.0
40.65714285714286,57.35088888888889,55.47375,66.3468888888889,Alessandro Florenzi,Italy,pass,success,0.00022
55.47375,66.3468888888889,50.89875,66.19311111111112,Domenico Berardi,Italy,carry,success,0.0
50.89875,66.19311111111112,35.43714285714286,65.27044444444445,Domenico Berardi,Italy,pass,success,0.0
35.43714285714286,65.27044444444445,26.07428571428571,64.886,Alessandro Florenzi,Italy,carry,success,0.0
26.07428571428571,64.886,25.32857142857143,37.70583333333334,Alessandro Florenzi,Italy,pass,success,0.00013
25.32857142857143,37.70583333333334,25.57714285714286,38.80583333333333,Leonardo Bonucci,Italy,carry,success,0.0
25.57714285714286,38.80583333333333,33.034285714285716,45.68083333333333,Leonardo Bonucci,Italy,pass,success,0.0
33.034285714285716,45.68083333333333,34.857142857142854,45.86416666666667,Jorge Luiz Frello Filho,Italy,carry,success,0.0
34.857142857142854,45.86416666666667,57.48675000000001,15.535833333333333,Jorge Luiz Frello Filho,Italy,pass,success,0.00022
37.425714285714285,11.879333333333333,37.59142857142858,11.879333333333333,Giorgio Chiellini,Italy,carry,success,0.0
37.59142857142858,11.879333333333333,41.48571428571428,27.360833333333332,Giorgio Chiellini,Italy,pass,success,0.00012
41.48571428571428,27.360833333333332,56.114250000000006,20.8525,Jorge Luiz Frello Filho,Italy,carry,success,0.00021
56.114250000000006,20.8525,56.114250000000006,29.377499999999998,Jorge Luiz Frello Filho,Italy,pass,success,0.0
57.66975000000001,29.56083333333334,43.48725,13.417111111111112,Lorenzo Insigne,Italy,pass,success,0.0
43.48725,13.417111111111112,43.48725,13.417111111111112,Giorgio Chiellini,Italy,carry,success,0.0
43.48725,13.417111111111112,48.062250000000006,5.4975555555555555,Giorgio Chiellini,Italy,pass,success,0.0
48.062250000000006,5.4975555555555555,46.23225000000001,5.805111111111111,Manuel Locatelli,Italy,carry,success,0.0
46.23225000000001,5.805111111111111,37.84,16.269166666666663,Manuel Locatelli,Italy,pass,success,0.0
37.84,16.269166666666663,38.00571428571429,16.635833333333338,Giorgio Chiellini,Italy,carry,success,0.0
38.00571428571429,16.635833333333338,37.425714285714285,33.58825,Giorgio Chiellini,Italy,pass,success,0.0
37.425714285714285,33.58825,37.59142857142858,34.228750000000005,Leonardo Bonucci,Italy,carry,success,3e-05
37.59142857142858,34.228750000000005,65.42,39.905833333333334,Leonardo Bonucci,Italy,pass,success,0.0006
65.42,39.905833333333334,60.140250000000016,43.48083333333333,Ciro Immobile,Italy,carry,success,0.0
60.140250000000016,43.48083333333333,49.06875,63.655777777777786,Ciro Immobile,Italy,pass,success,0.0
49.06875,63.655777777777786,49.343250000000005,63.655777777777786,Alessandro Florenzi,Italy,carry,success,0.0
49.343250000000005,63.655777777777786,61.85714285714286,66.57755555555556,Alessandro Florenzi,Italy,pass,success,0.00034
61.85714285714286,66.57755555555556,61.42125,66.19311111111112,Nicolò Barella,Italy,carry,success,0.0
61.42125,66.19311111111112,50.258250000000004,63.809555555555555,Nicolò Barella,Italy,pass,success,0.0
50.258250000000004,63.809555555555555,50.258250000000004,63.809555555555555,Alessandro Florenzi,Italy,carry,success,0.0
50.258250000000004,63.809555555555555,42.23142857142858,27.177500000000002,Alessandro Florenzi,Italy,pass,success,3e-05
